Image.Name,Hour,Minute,Sec,Summary.Statistic,Area,Average.intensity,Total.intensity,Image,Overlay,Treatment,NormAvgAVG,NormAvgTOT,Dissociation,SLIDE,Time,Label
Blue,37:00:00,27:00:00,976,Average,0.072583593,11415.09863,126506,Copy of Image 1_Maximum intensity projection.tif,GRB_B,CTL,0.842260065,0.739697952,VC2780,VC2780_S6,24H,CTL
Blue,39:00:00,55:00:00,697,Average,0.085487336,16602.56641,198617.5,Copy of Image 4_Maximum intensity projection 2.tif,GRB_B,CTL,1.225016017,1.161343794,VC2780,VC2780_S6,24H,CTL
Blue,44:00:00,21:00,418,Average,0.061091185,16084.66895,153550.3281,Copy of Image 6_Maximum intensity projection.tif,GRB_B,CTL,1.186803088,0.897829852,VC2780,VC2780_S6,24H,CTL
Blue,49:00:00,21:00,456,Average,0.090124615,12132.48145,160161.5781,Copy of Image 7_Maximum intensity projection 2.tif,GRB_B,CTL,0.895191968,0.936486738,VC2780,VC2780_S6,24H,CTL
Blue,51:00:00,23:00,820,Average,0.079323493,9548.888672,108394.9297,Copy of Image 9_Maximum intensity projection 2.tif,GRB_B,CTL,0.704562251,0.633800037,VC2780,VC2780_S6,24H,CTL
Blue,54:00:00,9:00,396,Average,0.0908067,18825.41797,256008.6563,Copy of Image 15_Maximum intensity projection.tif,GRB_B,MK4256,1.389028537,1.496917765,VC2780,VC2780_S7,24H,MK_1
Blue,56:00:00,11:00,639,Average,0.111458883,14984.83691,238686.7188,Copy of Image 17_Maximum intensity projection 2.tif,GRB_B,MK4256,1.105652269,1.395634018,VC2780,VC2780_S7,24H,MK_1
Blue,1:00,13:00,8,Average,0.123651341,14676.58594,286060.2188,Copy of Image 22_Maximum intensity projection 2.tif,GRB_B,MK4256,1.082908052,1.672633377,VC2780,VC2780_S7,24H,MK_1
Blue,5:00,35:00:00,752,Average,0.094486028,15514.50977,214332.9063,Copy of Image 26_Maximum intensity projection.tif,GRB_B,MK4256,1.144734042,1.253233933,VC2780,VC2780_S7,24H,MK_1
Blue,8:00,55:00:00,559,Average,0.110036708,18547.14844,319748.6875,Copy of Image 28_Maximum intensity projection.tif,GRB_B,MK4256,1.368496493,1.86961448,VC2780,VC2780_S8,24H,MK_1
Blue,14:00,47:00:00,7,Average,0.097642198,16692.00781,273600.5625,Copy of Image 30_Maximum intensity projection.ome.tif,GRB_B,MK4256,1.231615427,1.599780056,VC2780,VC2780_S8,24H,MK_1
Blue,16:00,34:00:00,810,Average,0.080850057,14162.80762,151538.1406,Copy of Image 31_Maximum intensity projection.tif,GRB_B,MK4256,1.044999053,0.886064315,VC2780,VC2780_S8,24H,MK_1
Blue,18:00,13:00,28,Average,0.097877882,16968.98242,277821.0313,Copy of Image 33_Maximum intensity projection.tif,GRB_B,MK4256,1.252051926,1.624457717,VC2780,VC2780_S8,24H,MK_1
Blue,20:00,30:00:00,911,Average,0.106219895,17118.47656,271921.125,Copy of Image 35_Maximum intensity projection.tif,GRB_B,MK4256,1.263082312,1.589960155,VC2780,VC2780_S8,24H,MK_1
Red,6:03,0:07,26,Average,0.048169103,14751.61328,108295.2734,ctl_15.tif,GRB_R,CTL,0.948837787,0.829050572,VC2786,VC2786_S1,24H,CTL
Red,7:05,9:01,86,Average,0.071819551,19559.36523,230597.1563,ctl_17.tif,GRB_R,CTL,1.258076963,1.765328239,VC2786,VC2786_S1,24H,CTL
Red,9:04,2:07,86,Average,0.068535671,17993.33594,187205.4063,ctl_17_2.tif,GRB_R,CTL,1.15734847,1.433144257,VC2786,VC2786_S2,24H,CTL
Red,2:04,0:03,16,Average,0.055833526,14593.57715,121983.2656,ctl_19.tif,GRB_R,CTL,0.938672753,0.933838504,VC2786,VC2786_S2,24H,CTL
Red,3:05,5:02,26,Average,0.048734695,14114.33008,94121.28906,ctl_1.tif,GRB_R,CTL,0.907847126,0.720542144,VC2786,VC2786_S3,24H,CTL
Red,6:02,4:03,46,Average,0.056785978,14470.97363,125390.3516,ctl_3opp.tif,GRB_R,CTL,0.930786778,0.959921328,VC2786,VC2786_S3,24H,CTL
Red,8:00,9:00,27,Average,0.039591048,15182.6748,81674.09375,ctl_36.tif,GRB_R,CTL,0.976564074,0.625253088,VC2786,VC2786_S4,24H,CTL
Red,6:00,5:02,96,Average,0.050082672,13710.40137,95738.39844,ctl_41.tif,GRB_R,CTL,0.881866048,0.732921867,VC2786,VC2786_S4,24H,CTL
Red,4:03,9:09,39,Average,0.084680855,18437.12695,229771.1094,mk_12_13_1.tif,GRB_R,MK4256,1.18589353,1.759004467,VC2786,VC2786_S5,24H,MK_1
Red,1:04,7:04,53,Average,0.073463388,17419.61523,209600,mk_29.tif,GRB_R,MK4256,1.120446209,1.604585264,VC2786,VC2786_S6,24H,MK_1
Red,7:01,9:06,7,Average,0.065627657,16845.26758,160053.125,mk_33.tif,GRB_R,MK4256,1.083503622,1.225280944,VC2786,VC2786_S6,24H,MK_1
Red,8:05,6:04,36,Average,0.061123025,18637.52539,162926.9531,mk_34.tif,GRB_R,MK4256,1.198783348,1.247281432,VC2786,VC2786_S6,24H,MK_1
Red,0:02,6:09,46,Average,0.04258237,16142.24805,98092.86719,mk_35.tif,GRB_R,MK4256,1.038284738,0.750946418,VC2786,VC2786_S6,24H,MK_1
Red,2:00,3:08,17,Average,0.048540276,13809.95313,98644.25,mk_43.tif,GRB_R,MK4256,0.888269312,0.755167509,VC2786,VC2786_S7,24H,MK_1
Red,2:05,9:06,37,Average,0.077422485,18265.61523,244224.8125,mk_45.tif,GRB_R,MK4256,1.174861733,1.869654271,VC2786,VC2786_S7,24H,MK_1
Red,4:01,1:05,2,Average,0.070673488,18202.43164,171978.5781,mk_9.tif,GRB_R,MK4256,1.170797704,1.316575821,VC2786,VC2786_S5,24H,MK_1
Blue,6:03,0:08,46,Average,0.048169103,11210,79946.77344,ctl_15.tif,GRB_B,CTL,0.823911184,0.685809067,VC2786,VC2786_S1,24H,CTL
Blue,7:05,9:02,56,Average,0.071819551,18880.47656,208868.0469,ctl_17.tif,GRB_B,CTL,1.387674916,1.791737103,VC2786,VC2786_S1,24H,CTL
Blue,9:04,2:08,56,Average,0.068535671,14037.63867,142466.7344,ctl_17_2.tif,GRB_B,CTL,1.031736619,1.222125346,VC2786,VC2786_S2,24H,CTL
Blue,2:04,0:04,6,Average,0.055833526,12986.79785,112071.8047,ctl_19.tif,GRB_B,CTL,0.954502052,0.961387889,VC2786,VC2786_S2,24H,CTL
Blue,3:05,5:03,16,Average,0.048734695,11782.36035,82093.23438,ctl_1.tif,GRB_B,CTL,0.865978454,0.704222097,VC2786,VC2786_S3,24H,CTL
Blue,6:02,4:04,59,Average,0.056785978,17544.36328,154213.7344,ctl_3opp.tif,GRB_B,CTL,1.289473428,1.32289488,VC2786,VC2786_S3,24H,CTL
Blue,8:00,9:01,17,Average,0.039591048,9587.338867,53903.72656,ctl_36.tif,GRB_B,CTL,0.704649039,0.462403457,VC2786,VC2786_S4,24H,CTL
Blue,6:00,5:04,16,Average,0.050082672,12817.70801,99019.39844,ctl_41.tif,GRB_B,CTL,0.942074308,0.849420162,VC2786,VC2786_S4,24H,CTL
Blue,4:04,0:00,19,Average,0.084680855,18307.37891,218704.0625,mk_12_13_1.tif,GRB_B,MK4256,1.345553456,1.8761136,VC2786,VC2786_S5,24H,MK_1
Blue,1:04,7:05,38,Average,0.073463388,10690.6709,122081.9688,mk_29.tif,GRB_B,MK4256,0.785741599,1.047258288,VC2786,VC2786_S6,24H,MK_1
Blue,7:01,9:07,7,Average,0.065627657,13034.34863,127208.875,mk_33.tif,GRB_B,MK4256,0.957996933,1.091238534,VC2786,VC2786_S6,24H,MK_1
Blue,8:05,6:05,37,Average,0.061123025,13566.27832,127326,mk_34.tif,GRB_B,MK4256,0.997092635,1.092243269,VC2786,VC2786_S6,24H,MK_1
Blue,0:02,7:00,46,Average,0.04258237,11965.18164,68159.66406,mk_35.tif,GRB_B,MK4256,0.879415431,0.584695461,VC2786,VC2786_S6,24H,MK_1
Blue,2:00,3:08,77,Average,0.048540276,20352.96875,161287.6875,mk_43.tif,GRB_B,MK4256,1.495899963,1.383577518,VC2786,VC2786_S7,24H,MK_1
Blue,2:05,9:07,47,Average,0.077422485,14864.13574,191253.2813,mk_45.tif,GRB_B,MK4256,1.092482398,1.640631994,VC2786,VC2786_S7,24H,MK_1
